ComparativeElement{start=18000, end=26000, key=273}
ComparativeElement{start=26000, end=27000, key=108}
ComparativeElement{start=35000, end=36000, key=183}
ComparativeElement{start=36000, end=37000, key=375}
ComparativeElement{start=36000, end=37000, key=221}
ComparativeElement{start=37000, end=38000, key=277}
ComparativeElement{start=37000, end=38000, key=333}
ComparativeElement{start=37000, end=38000, key=247}
ComparativeElement{start=35000, end=39000, key=706}
ComparativeElement{start=38000, end=39000, key=298}
ComparativeElement{start=38000, end=39000, key=360}
ComparativeElement{start=40000, end=41000, key=210}
ComparativeElement{start=38000, end=43000, key=422}
ComparativeElement{start=43000, end=44000, key=385}
ComparativeElement{start=46000, end=47000, key=526}
ComparativeElement{start=46000, end=47000, key=295}
ComparativeElement{start=46000, end=47000, key=418}
ComparativeElement{start=47000, end=48000, key=467}
ComparativeElement{start=47000, end=48000, key=387}
ComparativeElement{start=43000, end=48000, key=729}
ComparativeElement{start=37000, end=48000, key=829}
ComparativeElement{start=45000, end=48000, key=785}
ComparativeElement{start=45000, end=48000, key=764}
ComparativeElement{start=47000, end=48000, key=371}
ComparativeElement{start=47000, end=48000, key=624}
ComparativeElement{start=48000, end=49000, key=538}
ComparativeElement{start=48000, end=49000, key=282}
ComparativeElement{start=48000, end=49000, key=520}
ComparativeElement{start=48000, end=49000, key=451}
ComparativeElement{start=48000, end=49000, key=384}
ComparativeElement{start=44000, end=49000, key=273}
ComparativeElement{start=48000, end=49000, key=545}
ComparativeElement{start=48000, end=49000, key=629}
ComparativeElement{start=31000, end=49000, key=831}
ComparativeElement{start=48000, end=49000, key=585}
ComparativeElement{start=48000, end=49000, key=540}
ComparativeElement{start=48000, end=49000, key=266}
ComparativeElement{start=48000, end=49000, key=394}
ComparativeElement{start=49000, end=50000, key=301}
ComparativeElement{start=49000, end=50000, key=631}
ComparativeElement{start=49000, end=50000, key=503}
ComparativeElement{start=47000, end=50000, key=1126}
ComparativeElement{start=43000, end=50000, key=1048}
ComparativeElement{start=48000, end=50000, key=829}
ComparativeElement{start=49000, end=50000, key=868}
ComparativeElement{start=47000, end=50000, key=347}
ComparativeElement{start=49000, end=50000, key=411}
ComparativeElement{start=49000, end=50000, key=553}
ComparativeElement{start=45000, end=50000, key=320}
ComparativeElement{start=49000, end=50000, key=531}
ComparativeElement{start=49000, end=50000, key=600}
ComparativeElement{start=49000, end=50000, key=701}
ComparativeElement{start=50000, end=51000, key=476}
ComparativeElement{start=50000, end=51000, key=591}
ComparativeElement{start=50000, end=51000, key=412}
ComparativeElement{start=33000, end=52000, key=742}
ComparativeElement{start=51000, end=52000, key=514}
ComparativeElement{start=50000, end=52000, key=1126}
ComparativeElement{start=51000, end=52000, key=464}
ComparativeElement{start=51000, end=52000, key=690}
ComparativeElement{start=52000, end=53000, key=427}
ComparativeElement{start=52000, end=53000, key=275}
ComparativeElement{start=50000, end=54000, key=829}
ComparativeElement{start=28000, end=56000, key=569}
ComparativeElement{start=55000, end=56000, key=741}
ComparativeElement{start=55000, end=56000, key=848}
ComparativeElement{start=55000, end=56000, key=743}
ComparativeElement{start=55000, end=56000, key=561}
ComparativeElement{start=48000, end=56000, key=462}
ComparativeElement{start=55000, end=56000, key=762}
ComparativeElement{start=55000, end=56000, key=604}
ComparativeElement{start=53000, end=57000, key=535}
ComparativeElement{start=56000, end=57000, key=569}
ComparativeElement{start=56000, end=57000, key=490}
ComparativeElement{start=56000, end=57000, key=692}
ComparativeElement{start=56000, end=57000, key=751}
ComparativeElement{start=15000, end=57000, key=457}
ComparativeElement{start=56000, end=57000, key=824}
ComparativeElement{start=56000, end=57000, key=680}
ComparativeElement{start=53000, end=57000, key=275}
ComparativeElement{start=56000, end=57000, key=554}
ComparativeElement{start=56000, end=57000, key=500}
ComparativeElement{start=16000, end=57000, key=434}
ComparativeElement{start=56000, end=57000, key=735}
ComparativeElement{start=46000, end=57000, key=712}
ComparativeElement{start=56000, end=57000, key=637}
ComparativeElement{start=57000, end=58000, key=644}
ComparativeElement{start=57000, end=58000, key=774}
ComparativeElement{start=57000, end=58000, key=568}
ComparativeElement{start=57000, end=58000, key=761}
ComparativeElement{start=57000, end=58000, key=609}
ComparativeElement{start=56000, end=58000, key=542}
ComparativeElement{start=57000, end=58000, key=712}
ComparativeElement{start=52000, end=59000, key=514}
ComparativeElement{start=51000, end=59000, key=412}
ComparativeElement{start=58000, end=59000, key=770}
ComparativeElement{start=58000, end=59000, key=864}
ComparativeElement{start=58000, end=59000, key=434}
ComparativeElement{start=58000, end=59000, key=846}
ComparativeElement{start=59000, end=60000, key=714}
ComparativeElement{start=57000, end=60000, key=785}
ComparativeElement{start=59000, end=60000, key=722}
ComparativeElement{start=57000, end=62000, key=570}
ComparativeElement{start=61000, end=62000, key=785}
ComparativeElement{start=57000, end=63000, key=807}
ComparativeElement{start=62000, end=63000, key=994}
ComparativeElement{start=57000, end=64000, key=680}
ComparativeElement{start=64000, end=65000, key=827}
ComparativeElement{start=64000, end=65000, key=992}
ComparativeElement{start=64000, end=65000, key=964}
ComparativeElement{start=63000, end=65000, key=829}
ComparativeElement{start=57000, end=65000, key=1084}
ComparativeElement{start=64000, end=65000, key=974}
ComparativeElement{start=65000, end=66000, key=1071}
ComparativeElement{start=65000, end=66000, key=655}
ComparativeElement{start=63000, end=66000, key=807}
ComparativeElement{start=65000, end=66000, key=910}
ComparativeElement{start=65000, end=66000, key=734}
ComparativeElement{start=63000, end=66000, key=1222}
ComparativeElement{start=66000, end=67000, key=1056}
ComparativeElement{start=66000, end=67000, key=694}
ComparativeElement{start=66000, end=67000, key=905}
ComparativeElement{start=66000, end=67000, key=984}
ComparativeElement{start=67000, end=68000, key=1084}
ComparativeElement{start=67000, end=69000, key=1171}
ComparativeElement{start=57000, end=70000, key=1287}
ComparativeElement{start=30000, end=70000, key=750}
ComparativeElement{start=70000, end=71000, key=1070}
ComparativeElement{start=71000, end=72000, key=1000}
ComparativeElement{start=71000, end=72000, key=1102}
ComparativeElement{start=71000, end=72000, key=1186}
ComparativeElement{start=71000, end=72000, key=750}
ComparativeElement{start=71000, end=72000, key=1070}
ComparativeElement{start=71000, end=72000, key=1128}
ComparativeElement{start=72000, end=73000, key=914}
ComparativeElement{start=38000, end=73000, key=944}
ComparativeElement{start=72000, end=73000, key=1066}
ComparativeElement{start=72000, end=73000, key=1158}
ComparativeElement{start=72000, end=73000, key=1194}
ComparativeElement{start=72000, end=73000, key=1080}
ComparativeElement{start=72000, end=73000, key=1135}
ComparativeElement{start=72000, end=73000, key=890}
ComparativeElement{start=70000, end=73000, key=1613}
ComparativeElement{start=72000, end=73000, key=979}
ComparativeElement{start=72000, end=73000, key=1394}
ComparativeElement{start=73000, end=74000, key=901}
ComparativeElement{start=73000, end=74000, key=1066}
ComparativeElement{start=73000, end=74000, key=1548}
ComparativeElement{start=73000, end=74000, key=931}
ComparativeElement{start=73000, end=74000, key=1004}
ComparativeElement{start=73000, end=74000, key=961}
ComparativeElement{start=73000, end=74000, key=1059}
ComparativeElement{start=73000, end=74000, key=875}
ComparativeElement{start=71000, end=74000, key=830}
ComparativeElement{start=73000, end=74000, key=1235}
ComparativeElement{start=73000, end=74000, key=1117}
ComparativeElement{start=73000, end=75000, key=1145}
ComparativeElement{start=74000, end=75000, key=868}
ComparativeElement{start=69000, end=76000, key=718}
ComparativeElement{start=75000, end=76000, key=1254}
ComparativeElement{start=74000, end=76000, key=1160}
ComparativeElement{start=75000, end=76000, key=868}
ComparativeElement{start=76000, end=77000, key=1173}
ComparativeElement{start=74000, end=77000, key=901}
ComparativeElement{start=76000, end=77000, key=1188}
ComparativeElement{start=76000, end=77000, key=1114}
ComparativeElement{start=76000, end=77000, key=1227}
ComparativeElement{start=76000, end=78000, key=913}
ComparativeElement{start=77000, end=78000, key=960}
ComparativeElement{start=75000, end=78000, key=949}
ComparativeElement{start=77000, end=78000, key=1245}
ComparativeElement{start=77000, end=78000, key=1258}
ComparativeElement{start=61000, end=78000, key=1430}
ComparativeElement{start=77000, end=78000, key=1180}
ComparativeElement{start=77000, end=78000, key=1016}
ComparativeElement{start=74000, end=78000, key=1246}
ComparativeElement{start=76000, end=78000, key=1584}
ComparativeElement{start=77000, end=78000, key=1192}
ComparativeElement{start=77000, end=78000, key=1076}
ComparativeElement{start=77000, end=78000, key=1223}
ComparativeElement{start=77000, end=78000, key=1219}
ComparativeElement{start=78000, end=79000, key=1230}
ComparativeElement{start=78000, end=79000, key=1446}
ComparativeElement{start=78000, end=79000, key=919}
ComparativeElement{start=78000, end=79000, key=1228}
ComparativeElement{start=78000, end=79000, key=1196}
ComparativeElement{start=78000, end=79000, key=1192}
ComparativeElement{start=77000, end=79000, key=1266}
ComparativeElement{start=78000, end=79000, key=1222}
ComparativeElement{start=78000, end=80000, key=1347}
ComparativeElement{start=79000, end=80000, key=1288}
ComparativeElement{start=79000, end=80000, key=1122}
ComparativeElement{start=79000, end=80000, key=1237}
ComparativeElement{start=79000, end=80000, key=1221}
ComparativeElement{start=79000, end=80000, key=1351}
ComparativeElement{start=79000, end=80000, key=919}
ComparativeElement{start=79000, end=80000, key=1196}
ComparativeElement{start=73000, end=80000, key=1656}
ComparativeElement{start=78000, end=80000, key=1809}
ComparativeElement{start=78000, end=80000, key=1584}
ComparativeElement{start=79000, end=80000, key=1220}
ComparativeElement{start=79000, end=80000, key=1275}
ComparativeElement{start=68000, end=80000, key=637}
ComparativeElement{start=79000, end=81000, key=714}
ComparativeElement{start=79000, end=81000, key=1289}
ComparativeElement{start=79000, end=81000, key=1834}
ComparativeElement{start=79000, end=82000, key=1639}
ComparativeElement{start=81000, end=82000, key=1293}
ComparativeElement{start=80000, end=83000, key=1207}
ComparativeElement{start=82000, end=83000, key=1281}
ComparativeElement{start=82000, end=83000, key=1206}
ComparativeElement{start=43000, end=84000, key=1038}
ComparativeElement{start=83000, end=84000, key=1419}
ComparativeElement{start=83000, end=84000, key=1418}
ComparativeElement{start=83000, end=84000, key=1335}
ComparativeElement{start=83000, end=84000, key=1391}
ComparativeElement{start=76000, end=85000, key=968}
ComparativeElement{start=84000, end=85000, key=1138}
ComparativeElement{start=83000, end=85000, key=1269}
ComparativeElement{start=84000, end=85000, key=1260}
ComparativeElement{start=82000, end=85000, key=1279}
ComparativeElement{start=84000, end=85000, key=1385}
ComparativeElement{start=82000, end=85000, key=1171}
ComparativeElement{start=72000, end=85000, key=464}
ComparativeElement{start=84000, end=85000, key=1387}
ComparativeElement{start=85000, end=86000, key=1138}
ComparativeElement{start=85000, end=86000, key=1314}
ComparativeElement{start=85000, end=86000, key=1213}
ComparativeElement{start=85000, end=86000, key=1108}
ComparativeElement{start=66000, end=86000, key=1362}
ComparativeElement{start=85000, end=86000, key=1422}
ComparativeElement{start=81000, end=86000, key=1695}
ComparativeElement{start=85000, end=86000, key=1436}
ComparativeElement{start=75000, end=87000, key=282}
ComparativeElement{start=86000, end=87000, key=1164}
ComparativeElement{start=87000, end=88000, key=1460}
ComparativeElement{start=87000, end=88000, key=1289}
ComparativeElement{start=83000, end=88000, key=1806}
ComparativeElement{start=87000, end=88000, key=1248}
ComparativeElement{start=87000, end=88000, key=1481}
ComparativeElement{start=87000, end=88000, key=1296}
ComparativeElement{start=87000, end=88000, key=1359}
ComparativeElement{start=87000, end=88000, key=1404}
ComparativeElement{start=87000, end=88000, key=1468}
ComparativeElement{start=88000, end=89000, key=1225}
ComparativeElement{start=88000, end=89000, key=1460}
ComparativeElement{start=88000, end=89000, key=1449}
ComparativeElement{start=83000, end=89000, key=1722}
ComparativeElement{start=88000, end=89000, key=1448}
ComparativeElement{start=88000, end=89000, key=1476}
ComparativeElement{start=88000, end=89000, key=1806}
ComparativeElement{start=46000, end=89000, key=330}
ComparativeElement{start=88000, end=89000, key=1445}
ComparativeElement{start=88000, end=89000, key=1172}
ComparativeElement{start=88000, end=89000, key=1362}
ComparativeElement{start=85000, end=89000, key=1339}
ComparativeElement{start=88000, end=89000, key=1442}
ComparativeElement{start=89000, end=90000, key=1415}
ComparativeElement{start=89000, end=90000, key=1287}
ComparativeElement{start=89000, end=90000, key=1285}
ComparativeElement{start=89000, end=90000, key=1342}
ComparativeElement{start=89000, end=90000, key=1575}
ComparativeElement{start=90000, end=91000, key=1604}
ComparativeElement{start=90000, end=91000, key=1176}
ComparativeElement{start=90000, end=91000, key=1537}
