{first_ts=50000, last_ts=51000, value=67.5, key=140}
{first_ts=59000, last_ts=60000, value=67.0, key=291}
{first_ts=59000, last_ts=60000, value=67.0, key=345}
{first_ts=66000, last_ts=67000, value=67.0, key=388}
{first_ts=66000, last_ts=67000, value=67.0, key=277}
{first_ts=67000, last_ts=68000, value=67.5, key=848}
{first_ts=68000, last_ts=69000, value=67.0, key=544}
{first_ts=69000, last_ts=70000, value=67.0, key=488}
{first_ts=70000, last_ts=71000, value=67.0, key=190}
{first_ts=70000, last_ts=71000, value=67.5, key=751}
{first_ts=71000, last_ts=72000, value=67.0, key=460}
{first_ts=71000, last_ts=72000, value=67.5, key=425}
{first_ts=71000, last_ts=72000, value=67.0, key=370}
{first_ts=72000, last_ts=73000, value=67.0, key=241}
{first_ts=72000, last_ts=73000, value=67.5, key=457}
{first_ts=72000, last_ts=73000, value=67.0, key=846}
{first_ts=73000, last_ts=74000, value=67.0, key=430}
{first_ts=75000, last_ts=76000, value=67.0, key=513}
{first_ts=75000, last_ts=76000, value=67.0, key=469}
{first_ts=75000, last_ts=76000, value=67.5, key=841}
{first_ts=76000, last_ts=77000, value=67.0, key=267}
{first_ts=78000, last_ts=79000, value=67.5, key=446}
{first_ts=79000, last_ts=80000, value=67.5, key=152}
{first_ts=79000, last_ts=80000, value=68.0, key=462}
{first_ts=79000, last_ts=80000, value=67.0, key=464}
{first_ts=80000, last_ts=81000, value=67.0, key=216}
{first_ts=80000, last_ts=81000, value=67.0, key=185}
{first_ts=81000, last_ts=82000, value=67.0, key=989}
{first_ts=81000, last_ts=82000, value=67.5, key=765}
{first_ts=81000, last_ts=82000, value=67.0, key=211}
{first_ts=81000, last_ts=82000, value=67.5, key=1005}
{first_ts=81000, last_ts=82000, value=67.0, key=330}
{first_ts=81000, last_ts=82000, value=67.0, key=114}
{first_ts=82000, last_ts=83000, value=67.0, key=648}
{first_ts=83000, last_ts=84000, value=67.0, key=169}
{first_ts=83000, last_ts=84000, value=67.0, key=194}
{first_ts=84000, last_ts=85000, value=70.5, key=744}
{first_ts=84000, last_ts=85000, value=67.0, key=330}
{first_ts=84000, last_ts=85000, value=67.5, key=820}
{first_ts=84000, last_ts=85000, value=68.0, key=849}
{first_ts=85000, last_ts=86000, value=67.0, key=377}
{first_ts=85000, last_ts=86000, value=68.0, key=660}
{first_ts=85000, last_ts=86000, value=67.0, key=1128}
{first_ts=86000, last_ts=87000, value=67.0, key=535}
{first_ts=86000, last_ts=87000, value=67.5, key=920}
{first_ts=86000, last_ts=87000, value=67.0, key=607}
{first_ts=87000, last_ts=88000, value=67.0, key=261}
{first_ts=87000, last_ts=88000, value=68.0, key=1028}
{first_ts=87000, last_ts=88000, value=67.0, key=583}
{first_ts=87000, last_ts=88000, value=67.0, key=762}
{first_ts=88000, last_ts=89000, value=67.0, key=544}
{first_ts=88000, last_ts=89000, value=67.0, key=990}
{first_ts=89000, last_ts=90000, value=67.0, key=798}
{first_ts=89000, last_ts=90000, value=67.0, key=208}
{first_ts=89000, last_ts=90000, value=67.0, key=373}
{first_ts=89000, last_ts=90000, value=67.5, key=129}
{first_ts=89000, last_ts=90000, value=67.0, key=242}
{first_ts=89000, last_ts=90000, value=67.0, key=265}
{first_ts=90000, last_ts=91000, value=67.5, key=752}
{first_ts=90000, last_ts=91000, value=67.0, key=187}
{first_ts=90000, last_ts=91000, value=67.0, key=518}
{first_ts=90000, last_ts=91000, value=67.0, key=656}
{first_ts=90000, last_ts=91000, value=67.5, key=290}
{first_ts=90000, last_ts=91000, value=67.0, key=724}
{first_ts=90000, last_ts=91000, value=67.0, key=964}
{first_ts=90000, last_ts=91000, value=67.0, key=296}
{first_ts=90000, last_ts=91000, value=67.0, key=213}
{first_ts=91000, last_ts=92000, value=67.0, key=386}
{first_ts=91000, last_ts=92000, value=67.0, key=823}
