{first_ts=50000, num=2, last_ts=51000, value=51.0, key=413}
{first_ts=60000, num=2, last_ts=61000, value=50.0, key=301}
{first_ts=62000, num=3, last_ts=64000, value=51.0, key=203}
{first_ts=63000, num=2, last_ts=64000, value=51.0, key=427}
{first_ts=64000, num=2, last_ts=65000, value=50.0, key=347}
{first_ts=62000, num=4, last_ts=65000, value=56.0, key=574}
{first_ts=59000, num=8, last_ts=66000, value=52.0, key=446}
{first_ts=66000, num=2, last_ts=67000, value=52.0, key=805}
{first_ts=60000, num=11, last_ts=70000, value=51.0, key=368}
{first_ts=50000, num=22, last_ts=71000, value=70.0, key=495}
{first_ts=71000, num=2, last_ts=72000, value=51.0, key=547}
{first_ts=71000, num=2, last_ts=72000, value=51.0, key=999}
{first_ts=56000, num=17, last_ts=72000, value=51.0, key=322}
{first_ts=73000, num=2, last_ts=74000, value=51.0, key=575}
{first_ts=71000, num=4, last_ts=74000, value=53.0, key=188}
{first_ts=65000, num=10, last_ts=74000, value=57.0, key=603}
{first_ts=50000, num=27, last_ts=76000, value=67.0, key=190}
{first_ts=64000, num=13, last_ts=76000, value=59.0, key=282}
{first_ts=72000, num=6, last_ts=77000, value=51.0, key=334}
{first_ts=72000, num=6, last_ts=77000, value=54.0, key=676}
{first_ts=71000, num=7, last_ts=77000, value=56.0, key=779}
{first_ts=54000, num=25, last_ts=78000, value=62.0, key=405}
{first_ts=74000, num=6, last_ts=79000, value=53.0, key=595}
{first_ts=69000, num=12, last_ts=80000, value=61.0, key=427}
{first_ts=75000, num=7, last_ts=81000, value=61.0, key=305}
{first_ts=74000, num=8, last_ts=81000, value=59.0, key=892}
{first_ts=65000, num=18, last_ts=82000, value=51.0, key=458}
{first_ts=70000, num=13, last_ts=82000, value=60.0, key=477}
{first_ts=78000, num=5, last_ts=82000, value=52.0, key=612}
{first_ts=71000, num=12, last_ts=82000, value=62.0, key=514}
{first_ts=76000, num=7, last_ts=82000, value=55.0, key=687}
{first_ts=78000, num=5, last_ts=82000, value=53.0, key=916}
{first_ts=53000, num=31, last_ts=83000, value=62.0, key=410}
{first_ts=81000, num=3, last_ts=83000, value=52.0, key=951}
{first_ts=49000, num=35, last_ts=83000, value=55.0, key=200}
{first_ts=78000, num=6, last_ts=83000, value=53.0, key=323}
{first_ts=72000, num=12, last_ts=83000, value=64.0, key=561}
{first_ts=68000, num=16, last_ts=83000, value=69.0, key=446}
{first_ts=72000, num=13, last_ts=84000, value=57.0, key=858}
{first_ts=79000, num=6, last_ts=84000, value=53.0, key=694}
{first_ts=76000, num=9, last_ts=84000, value=59.0, key=905}
{first_ts=66000, num=20, last_ts=85000, value=55.0, key=567}
{first_ts=67000, num=19, last_ts=85000, value=57.0, key=490}
{first_ts=61000, num=25, last_ts=85000, value=55.0, key=584}
{first_ts=72000, num=15, last_ts=86000, value=62.0, key=666}
{first_ts=71000, num=16, last_ts=86000, value=65.0, key=636}
{first_ts=74000, num=13, last_ts=86000, value=60.0, key=715}
{first_ts=77000, num=10, last_ts=86000, value=51.0, key=729}
{first_ts=78000, num=10, last_ts=87000, value=57.0, key=420}
{first_ts=72000, num=16, last_ts=87000, value=51.0, key=479}
{first_ts=86000, num=2, last_ts=87000, value=51.0, key=1092}
{first_ts=82000, num=6, last_ts=87000, value=55.0, key=1037}
{first_ts=80000, num=8, last_ts=87000, value=51.0, key=322}
{first_ts=63000, num=25, last_ts=87000, value=51.0, key=480}
{first_ts=51000, num=37, last_ts=87000, value=51.0, key=312}
{first_ts=85000, num=4, last_ts=88000, value=51.0, key=645}
{first_ts=67000, num=22, last_ts=88000, value=55.0, key=671}
{first_ts=61000, num=28, last_ts=88000, value=75.0, key=744}
{first_ts=78000, num=11, last_ts=88000, value=61.0, key=733}
{first_ts=81000, num=8, last_ts=88000, value=69.0, key=1028}
{first_ts=40000, num=49, last_ts=88000, value=70.0, key=152}
{first_ts=71000, num=18, last_ts=88000, value=55.0, key=753}
{first_ts=84000, num=5, last_ts=88000, value=55.0, key=777}
{first_ts=72000, num=18, last_ts=89000, value=55.0, key=804}
{first_ts=82000, num=8, last_ts=89000, value=56.0, key=931}
{first_ts=65000, num=25, last_ts=89000, value=70.0, key=660}
{first_ts=81000, num=9, last_ts=89000, value=51.0, key=918}
{first_ts=79000, num=12, last_ts=90000, value=51.0, key=547}
{first_ts=85000, num=6, last_ts=90000, value=51.0, key=575}
{first_ts=87000, num=4, last_ts=90000, value=54.0, key=978}
{first_ts=87000, num=4, last_ts=90000, value=54.0, key=711}
{first_ts=74000, num=18, last_ts=91000, value=54.0, key=797}
{first_ts=76000, num=16, last_ts=91000, value=65.0, key=706}
{first_ts=77000, num=15, last_ts=91000, value=51.0, key=745}
{first_ts=38000, num=55, last_ts=92000, value=64.0, key=168}
{first_ts=84000, num=9, last_ts=92000, value=55.0, key=833}
