{first_ts=26000, cou=1, last_ts=27000, value=40.0, key=116}
{first_ts=26000, cou=1, last_ts=27000, value=40.0, key=108}
{first_ts=27000, cou=1, last_ts=28000, value=40.0, key=131}
{first_ts=27000, cou=1, last_ts=28000, value=41.0, key=130}
{first_ts=28000, cou=1, last_ts=29000, value=40.0, key=116}
{first_ts=28000, cou=1, last_ts=29000, value=40.0, key=101}
{first_ts=28000, cou=1, last_ts=29000, value=39.0, key=158}
{first_ts=28000, cou=1, last_ts=29000, value=40.0, key=164}
{first_ts=28000, cou=1, last_ts=29000, value=40.0, key=153}
{first_ts=28000, cou=1, last_ts=29000, value=40.0, key=163}
{first_ts=28000, cou=1, last_ts=29000, value=41.0, key=150}
{first_ts=28000, cou=1, last_ts=29000, value=43.0, key=108}
{first_ts=28000, cou=1, last_ts=29000, value=37.0, key=115}
{first_ts=29000, cou=1, last_ts=30000, value=38.0, key=132}
{first_ts=29000, cou=1, last_ts=30000, value=36.0, key=103}
{first_ts=29000, cou=1, last_ts=30000, value=40.0, key=173}
{first_ts=29000, cou=1, last_ts=30000, value=44.0, key=131}
{first_ts=29000, cou=1, last_ts=30000, value=39.0, key=127}
{first_ts=29000, cou=1, last_ts=30000, value=37.0, key=134}
{first_ts=29000, cou=1, last_ts=30000, value=36.0, key=114}
{first_ts=29000, cou=1, last_ts=30000, value=37.0, key=145}
{first_ts=29000, cou=1, last_ts=30000, value=37.0, key=139}
{first_ts=29000, cou=1, last_ts=30000, value=41.0, key=126}
{first_ts=29000, cou=1, last_ts=30000, value=45.0, key=130}
{first_ts=29000, cou=1, last_ts=30000, value=43.0, key=171}
{first_ts=29000, cou=1, last_ts=30000, value=38.0, key=146}
{first_ts=30000, cou=1, last_ts=31000, value=45.0, key=101}
{first_ts=30000, cou=1, last_ts=31000, value=45.0, key=153}
{first_ts=30000, cou=1, last_ts=31000, value=42.0, key=195}
{first_ts=31000, cou=1, last_ts=32000, value=43.0, key=132}
{first_ts=31000, cou=1, last_ts=32000, value=40.0, key=103}
{first_ts=31000, cou=1, last_ts=32000, value=37.0, key=182}
{first_ts=31000, cou=1, last_ts=32000, value=41.0, key=234}
{first_ts=31000, cou=1, last_ts=32000, value=35.0, key=156}
{first_ts=31000, cou=1, last_ts=32000, value=37.0, key=152}
{first_ts=31000, cou=1, last_ts=32000, value=37.0, key=185}
{first_ts=31000, cou=1, last_ts=32000, value=47.0, key=171}
{first_ts=31000, cou=1, last_ts=32000, value=39.0, key=254}
{first_ts=31000, cou=1, last_ts=32000, value=39.0, key=255}
{first_ts=32000, cou=1, last_ts=33000, value=40.0, key=271}
{first_ts=32000, cou=1, last_ts=33000, value=39.0, key=253}
{first_ts=32000, cou=1, last_ts=33000, value=37.0, key=169}
{first_ts=31000, cou=2, last_ts=33000, value=48.0, key=134}
{first_ts=32000, cou=1, last_ts=33000, value=40.0, key=288}
{first_ts=32000, cou=1, last_ts=33000, value=41.0, key=140}
{first_ts=32000, cou=1, last_ts=33000, value=41.0, key=145}
{first_ts=31000, cou=2, last_ts=33000, value=47.0, key=139}
{first_ts=31000, cou=2, last_ts=33000, value=53.0, key=126}
{first_ts=32000, cou=1, last_ts=33000, value=37.0, key=219}
{first_ts=33000, cou=1, last_ts=34000, value=35.0, key=208}
{first_ts=33000, cou=1, last_ts=34000, value=35.0, key=216}
{first_ts=33000, cou=1, last_ts=34000, value=40.0, key=240}
