SpeedDeltaInterval(start: 8000, end: 20000, value: 15.76923076923077, value description: avg, key: 167)
SpeedDeltaInterval(start: 13000, end: 18000, value: 18.833333333333332, value description: avg, key: 367)
SpeedDeltaInterval(start: 23000, end: 24000, value: 23.5, value description: avg, key: 382)
SpeedDeltaInterval(start: 13000, end: 18000, value: 13.5, value description: avg, key: 257)
SpeedDeltaInterval(start: 14000, end: 20000, value: 15.0, value description: avg, key: 391)
SpeedDeltaInterval(start: 19000, end: 22000, value: 18.75, value description: avg, key: 420)
SpeedDeltaInterval(start: 16000, end: 20000, value: 19.0, value description: avg, key: 387)
SpeedDeltaInterval(start: 11000, end: 17000, value: 12.428571428571429, value description: avg, key: 245)
SpeedDeltaInterval(start: 15000, end: 17000, value: 18.333333333333332, value description: avg, key: 282)
SpeedDeltaInterval(start: 18000, end: 20000, value: 17.666666666666668, value description: avg, key: 397)
SpeedDeltaInterval(start: 11000, end: 19000, value: 19.22222222222222, value description: avg, key: 273)
SpeedDeltaInterval(start: 17000, end: 23000, value: 16.0, value description: avg, key: 448)
SpeedDeltaInterval(start: 6000, end: 14000, value: 18.333333333333332, value description: avg, key: 147)
SpeedDeltaInterval(start: 19000, end: 22000, value: 17.5, value description: avg, key: 399)
SpeedDeltaInterval(start: 16000, end: 19000, value: 21.5, value description: avg, key: 311)
SpeedDeltaInterval(start: 14000, end: 16000, value: 14.333333333333334, value description: avg, key: 267)
SpeedDeltaInterval(start: 10000, end: 16000, value: 18.857142857142858, value description: avg, key: 252)
SpeedDeltaInterval(start: 11000, end: 19000, value: 16.0, value description: avg, key: 275)
SpeedDeltaInterval(start: 21000, end: 25000, value: 15.8, value description: avg, key: 424)
SpeedDeltaInterval(start: 7000, end: 13000, value: 14.571428571428571, value description: avg, key: 154)
SpeedDeltaInterval(start: 16000, end: 18000, value: 21.333333333333332, value description: avg, key: 154)
SpeedDeltaInterval(start: 20000, end: 23000, value: 17.75, value description: avg, key: 498)
SpeedDeltaInterval(start: 23000, end: 25000, value: 21.666666666666668, value description: avg, key: 553)
SpeedDeltaInterval(start: 23000, end: 25000, value: 25.0, value description: avg, key: 331)
SpeedDeltaInterval(start: 6000, end: 17000, value: 16.833333333333332, value description: avg, key: 121)
SpeedDeltaInterval(start: 13000, end: 15000, value: 18.666666666666668, value description: avg, key: 319)
SpeedDeltaInterval(start: 15000, end: 20000, value: 20.0, value description: avg, key: 319)
SpeedDeltaInterval(start: 7000, end: 16000, value: 21.2, value description: avg, key: 198)
SpeedDeltaInterval(start: 22000, end: 24000, value: 19.666666666666668, value description: avg, key: 198)
SpeedDeltaInterval(start: 13000, end: 15000, value: 21.333333333333332, value description: avg, key: 302)
SpeedDeltaInterval(start: 22000, end: 24000, value: 21.0, value description: avg, key: 302)
SpeedDeltaInterval(start: 16000, end: 18000, value: 16.333333333333332, value description: avg, key: 337)
SpeedDeltaInterval(start: 23000, end: 25000, value: 19.333333333333332, value description: avg, key: 347)
